Place,timestamp,Murder,Robbery,wheeler theft,Assault,Kidnap,Latitude,Longitude
"Infront of Endeavoal Softwaer Technologies, SLV, Building, near Ragigudda
Temple, JP Nagar 2nd phas, Bengaluru City, Karnaka, 560078",28-02-2020 18:00,0,1,0,0,0,12.9142916,77.5909833
"Infront of No.40, 5th Cross, 3rd Main, J P Nagar 2nd phase, Bengaluru City,
Karnaka, 560078",05-03-2020 22:00,1,0,0,0,0,12.9130265,77.5847637
"infront of 1380, South End Mainroad, Jayanagar 9th Block, Bengaluru City,
Karnaka, 560078",28-02-2020 13:30,1,0,0,0,0,12.9191277,77.5914538
"Infront of 84/2, 10nd Main, 9th Cross,, J P Nagar 1st phase, Bengaluru City,
Karnaka, 560078",07-03-2020 18:05,0,0,1,0,0,12.9109337,77.5768905
"Near house No.513, 7th Main, 3rd Cross, Ragigudda, Slum, J.P.Nagar 2nd Phase,
Bengaluru City, Karnaka, 560078",28-02-2020 08:00,0,1,0,0,0,12.9117804,77.59249
"Infront of No.60/2, 8th Main, 7th Cross,, Maruthi Road, Shakambarinagar, J P
Nagar 1st phase, Bengaluru City, Karnaka, 560078",07-03-2020 17:00,0,0,1,0,0,12.9121036,77.5733551
"Infront Of House No.346, 11th A Cross, Near VET, College, J.P.Nagar 2nd Phase,
Bengaluru City, Karnaka, 560078",07-03-2020 00:35,0,0,1,0,0,12.908303,77.5899746
"Infront of NO.912, 12th Cross, 35th Mainroad,, J P Nagar 1st phase, Bengaluru
City, Karnaka, 560078",05-03-2020 14:00,0,0,0,1,0,12.9079196,77.5751564
"Infront Of Office No.841, 11th Cross, 35th Main,, Near Sarakki Govt School,
J.P.Nagar 1st Phase, Bengaluru City, Karnaka, 560078",05-03-2020 22:20,1,0,0,0,0,12.9087291,77.5734503
"Infront of No.12A/3, 8th Cross, 6th Main,, J P Nagar 1st phase, Bengaluru City,
Karnaka, 560078",05-03-2020 00:45,1,0,0,0,0,12.911238,77.575194
"Opp.Oxford College 30th main, J P Nagar 1st phase, Bengaluru City, Karnaka,
560078",05-03-2020 19:05,0,1,0,0,0,12.9085246,77.5796617
"outside of House No.188, 12th Cross, 17th Main,, J.P.Nagar 2nd Phase, Bengaluru
City, Karnaka, 560078",07-03-2020 00:35,0,0,1,0,0,12.9084733,77.587459
"Infront Of House No.186, 4th Main,, KSRTC Layout, J.P.Nagar 2nd Phase,
Bengaluru City, Karnaka, 560078",03-03-2020 23:10,0,1,0,0,0,12.9110252,77.5910139
"Behind. House No.526, Vivekananda Sankirna,, JP Nagar 2nd phase, Bengaluru
City, Karnaka, 560078",07-03-2020 21:05,0,0,0,1,0,12.910375,77.5885265
"Infront Of Aditya Tutorial, Near Mamha Super, Market, 18th Main, J.P.Nagar 2nd
Phae, Bengaluru City, Karnaka, 560078",01-03-2020 11:45,1,0,0,0,0,12.910375,77.5885265
"Inftont Of No.850, 11th Cross, 35th Main, J.P.Nagar 2nd Phase, Bengaluru City,
Karnaka, 560078",04-03-2020 23:05,0,1,0,0,0,12.9079648,77.5766412
"Infront Of Trinity Diagnostic, No.213, 9th Cross,, J.P.Nagar 2nd Phase, Bengaluru
City, Karnaka, 560078",07-03-2020 21:05,1,0,0,0,0,12.9103452,77.5913872
"Infront Of Raagigudda Temple, J.P.Nagar 2nd Phase, Bengaluru City, Karnaka,
560078",07-03-2020 00:35,1,0,0,0,0,12.9142916,77.5909833
"Infront Of House No.232, KHRTC Layout, VVS Colony, J.P.Nagar 2nd Phase,
Bengaluru City, Karnaka, 560078",28-02-2020 19:45,0,0,1,0,0,12.9116607,77.5860521
"Infront of House No.521, 12th Main, MTB Area, J.P.Nagar 2nd Phase, Bengaluru
City, Karnaka, 560078",01-03-2020 14:30,0,1,0,0,0,12.9117313,77.5811908
"Infront Of Oxford College Play Ground,, J.P.Nagar 1st Phase, Bengaluru City,
Karnaka, 560078",03-03-2020 16:00,0,0,0,1,0,12.9085246,77.5796617
"Infront Of House No.1326, 18th B Main, J.P.Nagar 2nd Phase, Bengaluru City,
Karnaka, 560078",05-03-2020 19:10,1,0,0,0,0,12.9105818,77.5878644
"Infront Of House No.1347/1, 8th Cross, 32nd Main, ITI Layout, J.P.Nagar 1st
Phase, Bengaluru City, Karnaka, 560078",05-03-2020 12:10,0,0,1,0,0,12.9115414,77.5779409
"Near Woody's Hotel, 17th Main,, Bangalore Centrel Mal17th Main, JP Nagar 2nd
Phase, Bengaluru City, Karnaka, 560078",04-03-2020 08:30,1,0,0,0,0,12.9168346,77.5918358
"Infront of House No.1389, 18th Mainroad, J.P.Nagar 2nd Phase, Bengaluru City,
Karnaka, 560078",01-03-2020 15:25,0,1,0,0,0,12.9217529,77.5825697
"Inside Vasntha Prushothama Memorial Trust, No.46/1, 3&4, 17th Main, J P Nagar
2nd phase, Bengaluru City, Karnaka, 560078",06-03-2020 14:30,1,0,0,0,0,12.9066661,77.5881806
"Infront Of House No.51/5, 13th Main, Pipe Line, Shakambari Nagar, J.P.Nagar 1st
Phase, Bengaluru City, Karnaka, 560078",06-03-2020 15:20,0,0,0,1,0,12.9116178,77.5717153
"Infront Of House No.47, 7th Cross, 8th Main, Shakambari Nagar, J.P.Nagar 1st
Phase, Bengaluru City, Karnaka, 560078",03-03-2020 15:30,1,0,0,0,0,12.9127412,77.5737093
"opp Ganesh Temple, South End Road,, J.P.Nagar 3rd Phase, Bengaluru City,
Karnaka, 560078",04-03-2020 19:05,0,0,1,0,0,12.9127877,77.5583883
"Infront Of House No.49, Surya Krupa, 1st Cross, 6th Main, J.P.Nagar 3rd Phase,
Bengaluru City, Karnaka, 560078",01-03-2020 19:50,0,0,1,0,0,12.9088167,77.5950889
"Inside The Raj Appartment, 1st Cross, 4th Main, J P Nagar 2nd phase, Bengaluru
City, Karnaka, 560078",28-02-2020 14:10,0,0,1,0,0,12.9107522,77.5910287
"Infront of Upahara Dharshini, Beside Central Mall, Jayanagar 9th Block, Bengaluru
City, Karnaka, 560078",03-03-2020 20:05,0,0,0,1,0,12.9107987,77.5757077
"Inside the R.V Dental College Campus,, J.P.Nagar 1st Phase, Bengaluru City,
Karnaka, 560078",28-02-2020 23:00,0,0,0,1,0,12.9117957,77.5826913
"Infroont Of House No.185, 5th Main, Near Shivabala, yogi Ashrama, 3rd Phase,
Bengaluru City, Karnaka, 560078",05-03-2020 00:45,0,0,1,0,0,12.9120689,77.5937903
"INfront of No.1347, 8th Crossroad, 32nd Mainroad, J P Nagar 1st phase,
Bengaluru City, Karnaka, 560078",28-02-2020 23:00,1,0,0,0,0,12.917501,77.5780559
"C/o Ramesh, No.494/9, 5th Main, 9th Cross, Shakambarinagar, J P Nagar 1st
phase, Bengaluru City, Karnaka, 560078",07-03-2020 21:20,1,0,0,0,0,12.9115751,77.5743223
"Infront of No.41/A, 39, 7th Main Road,, JP Nagar 1st Phase, Bengaluru City,
Karnaka, 560078",28-02-2020 22:10,0,1,0,0,0,12.9200827,77.5796881
"Infront Of No.23/21, 16th Cross, Near Sindhoor Function Hall, JP Nagar 1st phase,
Bengaluru City, Karnaka, 560078",01-03-2020 17:20,0,0,0,1,0,12.908529,77.5822192
"Infront of Grand contiment Hotel, NO.44B, 1st Main, J P Nagar 3rd phase,
Bengaluru City, Karnaka, 560078",06-03-2020 21:15,1,0,0,0,0,12.8976867,77.5809436
"Infront of No.17, Vysya Bank Colony,, J P Nagar 1st phase, Bengaluru City,
Karnaka, 560078",03-03-2020 04:10,0,0,1,0,0,12.9135277,77.5767264
"Infront of Prasiddi Hotel, NO.25, 9th Cross, J.P.Nagar 1st Phase, Bengaluru City,
Karnaka, 560078",05-03-2020 23:10,0,0,1,0,0,12.9110682,77.5770827
"Infront of No.8/24, 9th Crossroad, 3rd D Mainraod,, Sarakki, J P Nagar 1st phase,
Bengaluru City, Karnaka, 560078",04-03-2020 23:05,0,1,0,0,0,12.9094322,77.5706543
"Infront of Shilpakala Kalyana Mantapa, Searvieroad, B G Road,, Bengaluru City,
Karnaka, 560076",07-03-2020 13:35,0,1,0,0,0,12.9095188,77.5378233
"Infront of 45, Anuradha, 5th Cross, KSRTC Layout, J P Nagar 2nd phase,
Bengaluru City, Karnaka, 560078",05-03-2020 21:40,0,1,0,0,0,12.9124153,77.5892543
"Infront of No.31, 5th Cross, KSRTC Layout, J P Nagar 2dn phase, Bengaluru City,
Karnaka, 560078",01-03-2020 14:30,0,0,1,0,0,12.9131644,77.591585
"Near FEDEX, 19th Main, J.P.Nagar 2nd Phase, Bengaluru City, Karnaka,
560078",06-03-2020 11:40,1,0,0,0,0,12.9065942,77.5896108
"Near Indira Gandhi Circle, J.P.Nagar 1st Phase, Bengaluru City, Karnaka,
560078",06-03-2020 15:30,0,1,0,0,0,12.910852,77.578621
"infront Of Vaishnavi Gents P.G No.121,, 3rd Main, J.P.Nagar 3rd Phase, Bengaluru
City, Karnaka, 560078",28-02-2020 16:00,0,1,0,0,0,12.9108952,77.5684907
"Infront of Durga Parameshwari Play Ground, J P Nagar 2nd Phase, Bengaluru
City, Karnaka, 560078",04-03-2020 22:00,0,0,0,1,0,12.9108487,77.5838117
"HOUSEEY PVT.Ltd No.1360, 100Feet road,, Jayanagar 9th Block, Bengaluru City,
Karnaka, 560069",05-03-2020 19:10,0,0,1,0,0,12.9662285,77.6392596
"Infront of No.869, 12th Cross, Behind KEB, J P Nagar 1st phase, Bengaluru City,
Karnaka, 560078",28-02-2020 18:00,1,0,0,0,0,12.9078104,77.5760964
"Infront of No.534, Suhasini, 8th Main,, J P Nagar 2nd phase, Bengaluru City,
Karnaka, 560078",06-03-2020 15:30,0,0,0,1,0,12.9085038,77.5927965
"Infront of no.17, 9th B cross, Sarakki, J P Nagar 1st phase, Bengaluru City,
Karnaka, 560078",04-03-2020 14:30,1,0,0,0,0,12.9110148,77.5732511
"INFRONT OF. No.06, 24th main, 1st cross, J P Nagar 2nd phase, Bengaluru City,
Karnaka,",07-03-2020 10:35,0,1,0,0,0,12.9090149,77.5834522
"NEAR PARK. NO 939.12TH CROSS 35TH MAIN., JP NAGAR 1ST PHASE.,
Bengaluru City, Karnaka, 560078",07-03-2020 20:20,0,1,0,0,0,12.899262,77.5650223
"Near Sindhoora Chowtri, Beside Appartment, J P Nagar 1st phase, Bengaluru City,
Karnaka, 560078",06-03-2020 10:10,0,0,1,0,0,12.9070912,77.5711913
"Infront of NO.1986, South End D Cross,, Jayanagar 9th Block, Bengaluru City,
Karnaka, 560069",07-03-2020 10:35,1,0,0,0,0,12.9155096,77.5922788
"INFRONT OF NO.100, 14th Cross,weavers colony,, Near metro, JP Ngara 1st
phase, Bengaluru City, Karnaka, 560078",01-03-2020 16:20,0,1,0,0,0,12.9075615,77.5708723
"Infront of Daily bread, Ring Road, J P Nagar 3rd phase, Bengaluru City, Karnaka,
560078",28-02-2020 17:00,0,1,0,0,0,12.9062977,77.5943451
"Infront Of Jishna PG. Behind Ragigudda, Temple, J.P.Nagar 2nd Phase, Bengaluru
City, Karnaka, 560078",06-03-2020 11:30,0,0,1,0,0,12.9142916,77.5909833
"Outside of House No.112, 10th Cross, 29th Main, J.P.Nagar 1st Phase, Bengaluru
City, Karnaka, 560078",28-02-2020 19:00,0,0,0,1,0,12.9098757,77.5806217
"Sarakki Ground, beside Oxford School,, J P Nagar 1st phase, Bengaluru City,
Karnaka",7/3/2020 17.28,1,0,0,0,0,12.9094853,77.574801
"Infront of Indira Priyadharshini School,, 7th A Main, 8th Cross, J P Nagar 3rd phase,
Bengaluru City, Karnaka, 560078",28-02-2020 15:00,0,0,0,0,1,12.908079,77.5938816
"Infron Of Shilpa Kala Kalyana Mantapa,, Service Road, B.G Road, J.P.Nagar 3rd
Phase, Bengaluru City, Karnaka, 560078",05-03-2020 23:10,0,0,0,1,0,12.9065595,77.5955035
"opp.Valtech, No 30/A, Industrial suburb 1st main,, 3rd Phase J P Nagar, Bengaluru
City, Karnaka, 560078",28-02-2020 03:30,0,0,1,0,0,12.9164992,77.5966286
"Infront Of Fl No.731,, 8th Main, J.P.Nagar 3rd Phase, Bengaluru City, Karnaka,
560078",01-03-2020 12:05,0,0,1,0,0,12.9088423,77.592968
"No.34, 3rd main, Beside Shanidevar temple, Sarakki, J P Nagar 1st phase,
Bengaluru City, Karnaka, 560078",06-03-2020 18:40,0,1,0,0,0,12.9032415,77.5732529
"Infront Of House No.12/A-1-1, 14th Cross,, J.P.Nagar 1st Phase, Bengaluru City,
Karnaka, 560078",05-03-2020 13:15,0,0,1,0,0,12.9071521,77.5730487
"Infront of No.23, A K Colony, J P Nagar 1st phase, Bengaluru City, Karnaka,
560078",07-03-2020 13:35,0,0,1,0,0,12.9249597,77.5733253
"Infront of The Organic World, 15th Cross,, 20th Main, J P Nagar 2nd phase,
Bengaluru City, Karnaka, 560078",01-03-2020 11:45,1,0,0,0,0,12.9066889,77.5867052
"Infront of No.89, 14th Cross, Weaverse Colony, J P Nagar 1st phase, Bengaluru
City, Karnaka, 560078",04-03-2020 20:00,1,0,0,0,0,12.9070945,77.5781946
"Infront Of House No.197,12th cross, 17th main, J P Nagar 2nd phase, Bengaluru
City, Karnaka, 560078",03-03-2020 23:10,0,0,1,0,0,12.9084813,77.5881974
"Infront of No.56, 9th B Cross, S B I Colony, J P Nagar 1st phase, Bengaluru City,
Karnaka, 560078",28-02-2020 10:30,0,1,0,0,0,12.9117172,77.5724407
"Infront of No.88/1, 21st A Main, 2nd Cross,, J P Nagar 2nd phase, Bengaluru City,
Karnaka, 560078",28-02-2020 19:50,1,0,0,0,0,12.9135728,77.6437918
"Infont Of House No.60/2, 7th Cross,, Shakambari nagar, P Nagar 1st phase,
Bengaluru City, Karnaka, 560078",05-03-2020 21:00,1,0,0,0,0,12.9112689,77.5742133
"Infront of Organic world, J P Nagar 2nd phase, Bengaluru City, Karnaka, 560078",07-03-2020 03:50,0,0,1,0,0,12.9066889,77.5867052
"A3, Ananda Apartment, 9th cross,, Opp of Divakar hospital, J P Nagar 2nd phase,
Bengaluru City, Karnaka, 560078",01-03-2020 11:45,0,0,1,0,0,12.9100432,77.5903
"Infront of Shilp Kala convention hall, B.G Road, J P Nagar 3rd phase, Bengaluru
City, Karnaka, 560078",28-02-2020 14:10,0,0,1,0,0,12.9100046,77.5899285
"Opp. Dennish Hotel, 6th cross,, J P Nagar 3rd phase, Bengaluru City, Karnaka,
560078",7/3/2020 16.42 ,0,0,0,1,0,12.9085015,77.5801181
"Infront of NO.51, 6th Cross, 32nd Mainroad,, ITI Colony, J P Nagar 1st phase,
Bengaluru City, Karnaka, 560078",03-03-2020 20:10,0,0,1,0,0,12.962112,77.6033269
"Near Sindhoora Kalyana Mantapa, J P Nagar 1st phase, Bengaluru City,
Karnaka, 560078",28-02-2020 17:00,0,0,1,0,0,12.9067229,77.5735098
"NEAR MANDOVI MOTORS, SERVICE ROAD, JP NAGAR 3RD PHASE,
Bengaluru City, Karnaka, 560078",28-02-2020 10:15,0,0,1,0,0,12.9083539,77.5989745
"Infront of No 54, 14th A Cross, Weavers colony, J P Nagar 1st Phase, Bengaluru
City, Karnaka, 560078",28-02-2020 00:00,0,1,0,0,0,12.8791483,77.5522352
"Infront of No.1/1, 64/2, Gurumurthappa Garden,, Sarakki Mainroad, J P Nagar 1st
phase, Bengaluru City, Karnaka, 560078",07-03-2020 03:50,0,0,1,0,0,12.9135052,77.5744027
"No.134/52, 4th, main,, J P Nagar 3rd phase, Bengaluru City, Karnaka, 560078",05-03-2020 13:15,0,0,1,0,0,12.9193608,77.5956138
"Infront of No.365, Sai Sambruddi P G, Near Delmiya, 14th Crossroad, J P Nagar
2nd phase, Bengaluru City, Karnaka, 560078",01-03-2020 18:25,0,0,1,0,0,12.9109126,77.5701591
"Infront Of House No.33, 9th Cross,, J.P.Nagar 1st Phase, Bengaluru City,
Karnaka, 560078",07-03-2020 14:50,0,0,1,0,0,12.9108866,77.5767252
"Infront of no.994 ,12th A cross,, J P Nagar 1st phase, Bengaluru City, Karnaka,
560078",05-03-2020 18:45,1,0,0,0,0,12.9076055,77.5759247
"Infront of SLN Mens Parlour, 21st Mainroad, Marenahalli, J.P.Nagar 2nd Phase,
Bengaluru City, Karnaka, 560078",06-03-2020 21:15,1,0,0,0,0,12.907652,77.5606037
"Infront Of R.V.Dental College Ge, 24th mainroad, J.P.Nagar 1st Phase,
Bengaluru City, Karnaka, 560078",03-03-2020 00:15,0,1,0,0,0,12.9146818,77.5826099
"Infront of No.1A, 1st A Cross, 24th Main, J.P.Nagar 2nd Phase, Bengaluru City,
Karnaka, 560078",01-03-2020 14:30,0,0,1,0,0,12.9150173,77.5845175
"In front of no,1043,13th cross, JP NAGAR 1ST PHASE, Bengaluru City, Karnaka,
560078",05-03-2020 10:00,0,0,1,0,0,12.9073505,77.5760548
"INFRONT OF HOUSE NO.460, 8TH MAIN ROAD, 9TH CROSS, JP NAGAR 2ND
PHASE, Bengaluru City, Karnaka, 560078",28-02-2020 11:00,0,0,1,0,0,12.9111696,77.5913062
"INFRONT OF HOUSE NO.30, 5TH MAIN ROAD, SHAKAMBARI NAGAR, JP
NAGAR 1ST PHASE, Bengaluru City, Karnaka, 560078",03-03-2020 13:40,1,0,0,0,0,12.9115751,77.5743223
"15TH CROSS, 15TH MAIN, SARAKKI AGRAHARA, JP NAGAR 2ND PHASE,
Bengaluru City, Karnaka, 560078",05-03-2020 22:00,0,0,0,1,0,12.8071581,77.2941385
"Infront of No 206,1st cross,2nd main, ksrtc layout, J P Nagar 2nd phase, Bengaluru
City, Karnaka, 560078",7/3/2020 17.28,1,0,0,0,0,12.9135496,77.5885392
"Beside Metro stion parking place,, J P Nagar 1st phase, Bengaluru City,
Karnaka, 560078",07-03-2020 10:35,1,0,0,0,0,12.9119429,77.5749591
"Infront of New construction building, 17th main, J P Nagar 2nd phase, Bengaluru
City, Karnaka",05-03-2020 00:45,0,1,0,0,0,12.908332,77.5883169
"No.690, (Talanki's), 7th main,, J P Nagar 3rd phase, Bengaluru City, Karnaka,
560078",7/3/2020 16.42 ,0,1,0,0,0,12.9116754,77.6041743
"Near House no.351, 11th cross, 14th main, J P Nagar 2nd phase, Bengaluru City,
Karnaka, 560078",06-03-2020 17:30,0,1,0,0,0,12.9092672,77.589316
"No.556, Marenahalli, Tankbund road, J P Nagar 2nd phase, Bengaluru City,
Karnaka, 560078",07-03-2020 22:55,0,1,0,0,0,12.9774928,77.5718903
"INFRONT OF HOUSE NO.626, 13TH CROSS, 14TH MAIN,, JP NAGAR 2ND
PHASE, Bengaluru City, Karnaka, 560078",01-03-2020 15:35,0,1,0,0,0,12.9074525,77.5913079
"12th cross, 14th main,, J P Nagar 2nd phase, Bengaluru City, Karnaka,",28-02-2020 19:20,1,0,0,0,0,12.9082916,77.5897012
"Near Mandovi motors,service road, J P Nagar 3rd phase, Bengaluru City,
Karnaka, 560078",05-03-2020 23:00,0,0,0,1,0,12.9083539,77.5989745
"Near Mandovi motors,service road, J P Nagar 3rd phase, Bengaluru City,
Karnaka, 560078",07-03-2020 18:00,1,0,0,0,0,12.9083539,77.5989745
"127/B, 12th cross, 6th main,, J P Nagar 3rd phase, Bengaluru City, Karnaka,
560078",03-03-2020 20:05,0,1,0,0,0,12.9083934,77.5952422
"INFRONT OF HOUSE NO.547, 8TH MAIN, 12TH CROSS,, JP NAGAR 2ND
PHASE, Bengaluru City, Karnaka, 560078",01-03-2020 22:30,0,1,0,0,0,12.9088745,77.5929109
"INFRONT OF HOUSE No.1937, 5th cross, 20th main, J P Nagar 2nd phase,
Bengaluru City, Karnaka, 560078",28-02-2020 14:25,0,1,0,0,0,12.9127423,77.5861278
"No.82(A), 2nd cross, 6th main,, J P Nagar 3rd phase, Bengaluru City, Karnaka,
560078",03-03-2020 17:50,0,0,1,0,0,12.9151885,77.5941337
"SERVICE ROAD, NEAR MANDOVI MOTORS, B G ROAD, JP NAGAR 3RD
PHASE, Bengaluru City, Karnaka, 560078",01-03-2020 22:20,0,0,1,0,0,12.9077254,77.5978325
"ONFRONT OF HOUSE NO.21/2, 20TH MAIN,, J P NAGAR 2ND PHASE,
Bengaluru City, Karnaka, 560078",28-02-2020 08:40,0,1,0,0,0,12.9165623,77.5870966
"INFRONT OF HOUSE NO.171, 13TH CROSS, NEAR ANJANEYYA TEMPLE,
SARAKKI, JP NAGAR 1ST PHASE, Bengaluru City, Karnaka, 560078",03-03-2020 20:10,0,0,1,0,0,12.9085041,77.5735867
"INFRONT OF HOUSE NO.342, 4TH MAIN, 8TH CROSS, JP NAGAR 3RD
PHASE, Bengaluru City, Karnaka, 560078",28-02-2020 19:00,0,1,0,0,0,12.9113821,77.5957139
"INFRONT OF HOUSE NO.32, 1ST A CROSS, MARENAHALLI, JP NAGAR 2ND
PHASE, Bengaluru City, Karnaka, 560078",01-03-2020 18:25,0,0,1,0,0,12.9161507,77.5846836
"INFRONT OF HOUSE NO.1261/A, 19TH MAIN ROAD, 1ST B CROSS, JP
NAGAR 2ND PHASE, Bengaluru City, Karnaka, 560078",06-03-2020 17:30,0,0,1,0,0,12.9147413,77.5874376
"INFRONT OF HOUSE NO.141/6,23RD A MAIN, MARENAHALLI, JP NAGAR 2ND
PHASE, Bengaluru City, Karnaka, 560078",05-03-2020 23:10,0,1,0,0,0,12.9152626,77.5994055
"INFRONT OF HOUSE NO.154, TH CROSS, 27TH MAIN, R V DENTAL
COLLEGE ROAD, JP NAGAR 1ST PHASE, Bengaluru City, Karnaka, 560078",03-03-2020 14:10,0,1,0,0,0,12.9124262,77.6008344
"OPPOSITE SHIVA TEMPLE, 38TH MAIN, 9TH CROSS, NEAR SARAKKI
MARKET, JP NAGAR 1ST PHASE, Bengaluru City, Karnaka, 560078",01-03-2020 15:30,1,0,0,0,0,12.9084329,77.5720747
"Kalyan Venkeswar Swamy temple, 9th cross, J P Nagar 1st phase, Bengaluru
City, Karnaka, 560078",05-03-2020 15:40,0,1,0,0,0,12.9103392,77.5804057
"Near FBB, beside Gopalan mall,, JP NAGAR 3RD PHASE, Bengaluru City,
Karnaka, 560078",28-02-2020 19:00,0,0,1,0,0,12.9190179,77.5150998
"Opp.of Sindur convention hall, 15th cross, JP NAGAR 1ST PHASE, Bengaluru
City, Karnaka, 560078",06-03-2020 15:30,1,0,0,0,0,12.9147841,77.5778715
"Opp. of Mayur sweets ,Tasty Bites, 23rd main,, J P Nagar 2nd phase, Bengaluru
City, Karnaka, 560078",05-03-2020 19:10,0,0,1,0,0,12.9147581,77.5844376
"No.Tirumalagiri Venkeshwara Lakshmi Temple, 9th Cross, J P Nagar 2nd phase,
Bengaluru City, Karnaka, 560078",04-03-2020 19:05,0,0,1,0,0,12.910319,77.5872771
"Near Mandovi motors,service road,, Jp nagar 3rd phase, Bengaluru City,
Karnaka, 560078",28-02-2020 19:00,0,1,0,0,0,12.9083539,77.5989745
"NO-1459, 17th B main,, 2nd Phase, JP Nagar, Bengaluru City, Karnaka, 560078",01-03-2020 16:05,0,1,0,0,0,12.9148942,77.5887273
"Infornt of vogo Rentals, 20th Main Marehanalli, JP NAGAR 2ND PHASE,
Bengaluru City, Karnaka, 560078",03-03-2020 20:05,0,1,0,0,0,12.9133944,77.5859906
"Near Tasty bite Restaunta Opp of Mayur sweets,, Marenahalli J P Nagar 2nd
phase, Bengaluru City, Karnaka, 560078",28-02-2020 19:50,1,0,0,0,0,12.9147697,77.584399
"13th Cross, Shakamari Nagar, J P Nagar 1st phase, Bengaluru City, Karnaka,
560078",01-03-2020 15:15,0,0,1,0,0,12.9074673,77.5777489
"Infront of ste bank of india, 24th main road, 1st Phase jp nagar, Bengaluru City,Karnaka, 560078",06-03-2020 20:30,0,0,1,0,0,12.9061934,77.5768652
"Sindoora Choutary, J P Nagar 1st phase, Bengaluru City, Karnaka, 560078",28-02-2020 20:30,0,1,0,0,0,12.9067229,77.5735098
"No-39, Lakshmi PG, 23rd A Main Road, 2nd Phase, JP Nagar, Bengaluru City,
Karnaka, 560078",28-02-2020 18:00,0,0,0,1,0,12.9066436,77.5461889
"Infront of Fowal, 15th Cross, J P Nagar 1st phase, Bengaluru City, Karnaka,
560078",28-02-2020 14:15,1,0,0,0,0,12.906557,77.5790199
"Near Park view Hotel, Miniforest, 3rd Phase j p nagar, Bengaluru City, Karnaka,
560078",01-03-2020 22:35,0,1,0,0,0,12.9113841,77.5967984
"Infront of Ananda Apartment, , 9th Main,, KSRTC LAYOUT, J P Nagar 2nd phase,
Bengaluru City, Karnaka, 560078",06-03-2020 15:30,0,0,1,0,0,12.9104194,77.5928999
"Infornt Of No. 08 Marenhalli Tank Band Area, Jp Nagar 2nd Phase, Bengaluru City,
Karnaka, 560078",05-03-2020 14:00,0,0,1,0,0,12.89963,77.56877
"Infront of house N0, 306,11th Cross,25th main, 1st Phase jp nagar, Bengaluru City,
Karnaka, 560078",03-03-2020 20:40,0,0,1,0,0,12.90896,77.58473
"In Compound No-33, 9th 'C' Cross, 40th Main, SBI Colony, J P Nagar 1st Phase,
Bengaluru City, Karnaka, 560078",05-03-2020 22:00,1,0,0,0,0,12.96557,77.60625
"Near House No-579, 1st Floor, Ragigudda Slum, 2nd Phase J P Nagar, Bengaluru
City, Karnaka, 560078",01-03-2020 15:30,0,0,1,0,0,12.914668,77.593316
"In front of No-32, 11th A Cross, 6th Main, Jp nagar 3rd phase, Bengaluru City,
Karnaka, 560078",07-03-2020 12:50,0,0,1,0,0,12.909156,77.597556
"No.#1897/C, 2nd main, A Cross,, JP Nagar 2nd Phase, Bengaluru City, Karnaka,
560078",28-02-2020 14:25,0,1,0,0,0,12.90891,77.59889
"Infront of No.758, 8th main,, J P Nagar 3rd phase, Bengaluru City, Karnaka,
560078",05-03-2020 12:10,0,1,0,0,0,12.914376,77.595004
"Near Karavali Hotel, 9th Cross, Indiragandhi Circle, J P Nagar 1st Phase,
Bengaluru City, Karnaka, 560078",28-02-2020 01:30,0,0,0,1,0,12.911348,77578907
"Infront of Ba Showroom Kanakpura Main Road, Sarakki J P Nagar 1st phase,
Bengaluru City, Karnaka, 560078",07-03-2020 19:05,0,0,1,0,0,,
"Beside Woodis hottel, 17th main, JP Nagar 2nd Phase, Bengaluru City, Karnaka,
560078",05-03-2020 19:45,0,0,1,0,0,12.916958,77591343
"No. 186, 4th Cross road, 5th main, road,, Jp nagar 3rd phase, Bengaluru City,
Karnaka, 560078",06-03-2020 18:40,0,1,0,0,0,12.913056,77597104
"Near Sindoor Convention Hall, JP Nagar 1st Phase, Bengaluru City, Karnaka,",01-03-2020 22:35,1,0,0,0,0,12.906946,77.57568
"Infront of House No-365, 11th cross, 20th Main Roa, JP Nagar 2nd Phase,
Bengaluru City, Karnaka, 560078",28-02-2020 00:00,0,0,1,0,0,12.909614,77.590259
"No-88 14th A Cross Kanakapur Main Road, Weavers Colony 1st Phase,
Bengaluru City, Karnaka, 560078",06-03-2020 11:40,0,1,0,0,0,12.9082619,77.5709324
"No-26, Teachers
Colony, Banashankari 2nd
stage, Bengaluru City,
Karnaka-560070",05-03-2020 22:00,0,1,0,0,0,"12°54'55.91""N","77°34'6.71""E"
"No-58, 34th Cross, 9th
Main,, Yarabnagar, BSK
2nd stage, Bengaluru City,
Karnaka-5600700",05-03-2020 22:00,1,0,0,0,0,"12°55'6.00""N","77°34'4.42""E"
"No-12, 24th A cross,
Karesandra, Banashankari
2ndn stage, Bengaluru City,
Karnaka-560070",07-03-2020 21:05,0,0,0,1,0,"12°55'20.94""N","77°34'13.78""E"
"NO-05,4TH
CROSS,7TH BLOCK
(WEST)., JAYANAGARA.,
Bengaluru City,",28-02-2020 03:30,0,0,1,0,0,"12°55'55.35""N","77°34'17.29""E"
